# Tamil word corpus - common words for IME suggestions
# Format: tamil_text\tfrequency
# Frequency is a relative score (higher = more common)
# Kinship & Personal
அம்மா	2500
அப்பா	2400
அண்ணா	2300
அக்கா	2200
தம்பி	2100
தங்கை	2000
மகன்	1900
மகள்	1850
தாத்தா	1800
பாட்டி	1750
மாமா	1700
மாமி	1650
# Common verbs (root + past + colloquial past)
படிக்க	2000
படித்தேன்	1800
படிச்சேன்	1750
படித்தாள்	1700
படிச்சா	1650
படித்தார்	1600
படிச்சார்	1550
படித்தான்	1500
படிச்சான்	1450
வா	2200
வந்தேன்	2000
வந்தா	1900
வந்தாங்க	1850
போ	2100
போனேன்	1950
போனா	1850
போனாங்க	1800
சாப்பிட	2000
சாப்பிட்டேன்	1800
சாப்பிட்டா	1750
சாப்பிட்டாங்க	1700
பார்க்க	1900
பார்த்தேன்	1750
பார்த்தா	1700
பார்த்தாங்க	1650
சொல்ல	1950
சொன்னேன்	1800
சொன்னா	1750
சொன்னாங்க	1700
கேட்க	1850
கேட்டேன்	1700
கேட்டா	1650
# Food items
சோறு	2200
சாப்பாடு	2150
சாதம்	2000
இட்லி	1950
தோசை	1900
வடை	1850
சாம்பார்	1800
ரசம்	1750
குழம்பு	1700
கூட்டு	1650
பொரியல்	1600
# Common nouns
நண்பன்	2300
நண்பா	2200
நண்பர்	2100
நண்பி	2000
தோழன்	1950
தோழி	1900
வீடு	2400
பள்ளி	2300
கல்லூரி	2200
அலுவலகம்	2100
தெரு	2000
ஊர்	1950
நகரம்	1900
மொழி	2150
தமிழ்	2500
ஆங்கிலம்	2000
# Common adjectives & descriptors
நல்ல	2400
பெரிய	2300
சிறிய	2200
அழகான	2100
இனிய	2000
கெட்ட	1900
பழைய	1850
புதிய	1800
# Question words & particles
என்ன	2600
எப்படி	2500
எப்போது	2400
எங்கே	2300
யார்	2200
எது	2100
ஏன்	2000
# Pronouns
நான்	2800
நீ	2700
அவன்	2600
அவள்	2550
நாம்	2500
நீங்கள்	2450
அவர்	2400
அவர்கள்	2350
# Numbers (written form)
ஒன்று	2000
இரண்டு	1950
மூன்று	1900
நான்கு	1850
ஐந்து	1800
ஆறு	1750
ஏழு	1700
எட்டு	1650
ஒன்பது	1600
பத்து	1550
# Time expressions
இன்று	2400
நேற்று	2300
நாளை	2200
இப்போது	2100
பிறகு	2000
முன்பு	1900
காலை	1850
மாலை	1800
இரவு	1750
# Common postpositions & conjunctions
உடன்	2100
இடம்	2000
மேல்	1950
கீழ்	1900
முன்	1850
பின்	1800
உள்ளே	1750
வெளியே	1700
# Colloquial contractions
போனது	1900
வந்தது	1850
சாப்பிட்டது	1800
பார்த்தது	1750
கேட்டது	1700
# Common expressions
வணக்கம்	2500
நன்றி	2450
தயவுசெய்து	2200
மன்னிக்கவும்	2100
சரி	2400
இல்லை	2300
ஆம்	2200
ஓகே	2000
# Body parts
கை	2000
கால்	1950
தலை	1900
கண்	1850
காது	1800
வாய்	1750
மூக்கு	1700
# Colors
சிவப்பு	1900
நீலம்	1850
பச்சை	1800
மஞ்சள்	1750
கருப்பு	1700
வெள்ளை	1650
# Weather & nature
மழை	2000
வெயில்	1950
காற்று	1900
மரம்	1850
பூ	1800
பழம்	1750
# Question forms (colloquial)
படிச்சியா	1900
படிச்சீங்களா	1850
வந்தியா	1800
வந்தீங்களா	1750
சாப்பிட்டியா	1700
சாப்பிட்டீங்களா	1650
பார்த்தியா	1600
பார்த்தீங்களா	1550
# Common mistakes/variants that should rank (for learning)
என்பது	2300
எண்பது	2200
எண்பத்து	1900
# Demonstratives
இது	2500
அது	2450
இந்த	2400
அந்த	2350
